Positive Sentiment,Negative Sentiment,Objective Sentiment,Female Orientation,Male Orientation,Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence,Unnamed: 0,Number of Sentences,Number of Dialogs,Number of Sentences with Dialogs,Number of Named People,Number of Named Places,Number of Named Organizations,filenames
0.08283684002953767,0.09402588886971204,0.8231372711007509,398.0,550.0,pg22660.epub,20087,194,0.09284611938069398,30.903076923076924,259,195,2.0,2,50,55,14,pg22660.epub
0.06303026513714728,0.06731609014951526,0.8696536447133372,705.0,1125.0,pg22781.epub,39674,1309,0.1299339617885769,12.226194144838214,260,1310,1124.0,942,89,19,31,pg22781.epub
0.07311959629320254,0.08225342088203667,0.8446269828247603,1498.0,3782.0,pg2287.epub,84787,2570,0.15584936369962374,11.144453207150367,261,2571,2985.0,1739,83,97,76,pg2287.epub
0.08951786558829182,0.09768563171038502,0.8127965027013241,2022.0,2370.0,pg22883.epub,65383,1274,0.14234586972148724,15.611986628462274,262,1275,1388.5,879,135,67,30,pg22883.epub
0.08091718995091321,0.08462669009608421,0.8344561199530025,5394.0,5685.0,pg22961.epub,154350,4692,0.16655004859086492,13.250064383208857,263,4693,4188.0,2743,158,90,69,pg22961.epub
0.0823278493060686,0.08215179879149956,0.8355203519024319,244.0,799.0,pg23009.epub,11214,142,0.11423220973782773,14.892430278884461,264,143,157.0,95,20,16,14,pg23009.epub
0.0812706869318006,0.08535829977151715,0.8333710132966822,447.0,918.0,pg23010.epub,19227,273,0.11858324231549384,14.824209714726294,265,274,267.0,209,44,20,31,pg23010.epub
0.07339707623499712,0.07903988091537134,0.8475630428496316,718.0,1007.0,pg23012.epub,19626,358,0.1347192499745236,14.970251716247141,266,359,367.5,241,28,24,5,pg23012.epub
0.07969747191906333,0.09658466557431722,0.8237178625066175,3773.0,1970.0,pg23106.epub,87416,1412,0.1423881211677496,18.372425388818836,267,1413,1392.0,894,84,39,32,pg23106.epub
0.060173298865076,0.06724953354028629,0.8725771675946357,446.0,3400.0,pg23118.epub,101457,1110,0.11676868032762648,31.79473519272955,268,1111,620.5,392,60,62,30,pg23118.epub
0.07785576550819194,0.07811933223958134,0.8440249022522257,2484.0,1761.0,pg23157.epub,72416,1492,0.107503866548829,14.362554541848473,269,1493,1430.0,1051,139,46,26,pg23157.epub
0.06573498146485195,0.059962668213523876,0.8743023503216241,872.0,2528.0,pg23215.epub,64566,1855,0.15519003810054827,12.371335504885993,270,1856,2253.0,1717,120,26,29,pg23215.epub
0.06987153907469315,0.08983840824737811,0.8402900526779282,160.0,304.0,pg23222.epub,10457,158,0.1334034617959262,13.850331125827816,271,159,164.0,98,30,21,2,pg23222.epub
0.06443587816011549,0.06978886286088985,0.8657752589789944,0.0,574.0,pg23223.epub,9976,243,0.1308139534883721,22.828375286041194,272,244,151.5,180,15,13,7,pg23223.epub
0.07104815408222967,0.07338363583861834,0.8555682100791525,2615.0,2652.0,pg23246.epub,82371,2888,0.13167255466122785,11.675549255846915,273,2889,2362.0,2004,244,84,36,pg23246.epub
0.09203711015395984,0.07925528671682189,0.8287076031292181,262.0,431.0,pg23420.epub,9895,272,0.1415866599292572,13.036890645586295,274,273,202.0,157,24,22,12,pg23420.epub
0.0571855100300837,0.051247148700091984,0.8915673412698217,1822.0,2246.0,pg23606.epub,70381,1933,0.15484292635796593,12.4833274210713,275,1934,2307.5,1333,73,41,41,pg23606.epub
0.057308812856469986,0.07464747419520465,0.8680437129483249,168.0,736.0,pg23629.epub,16893,238,0.1267980820458178,21.142678347934922,276,239,215.5,134,42,12,4,pg23629.epub
0.06439107463500783,0.07614569322391875,0.859463232141073,232.0,640.0,pg23630.epub,16017,159,0.11681338577761127,24.6036866359447,277,160,134.0,85,25,6,4,pg23630.epub
0.07066608845267154,0.08074587371906615,0.8485880378282624,260.0,1610.0,pg23631.epub,28462,283,0.12068723209893893,25.0325417766051,278,284,272.0,165,47,14,1,pg23631.epub
0.06030491377953045,0.07065769965648011,0.8690373865639899,333.0,528.0,pg23632.epub,13073,282,0.13225732425610034,14.95766590389016,279,283,241.0,160,23,7,2,pg23632.epub
0.06368112326176932,0.06999990316803632,0.8663189735701945,429.0,906.0,pg23633.epub,18283,283,0.13170705026527374,19.70150862068965,280,284,281.0,183,48,8,2,pg23633.epub
