Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence
pg12733.epub,183527,2280,0.07103042059206548,17.22449554199906
pg12886.epub,23007,708,0.16099447994088756,13.943636363636363
pg12935.epub,66853,2494,0.15356079757078964,12.002333931777379
pg12972.epub,66548,1111,0.11432349582256417,13.288338658146964
pg12989.epub,33154,928,0.15168607106231527,14.45878761447885
pg13057.epub,55136,1387,0.08261390017411492,12.252444444444444
pg13162.epub,26946,867,0.140651673717806,13.5
pg13178.epub,73099,1692,0.09061683470362111,13.67870508982036
pg13212.epub,97962,2093,0.12502807210959352,15.544589019358934
pg13257.epub,104113,3291,0.15344865674795655,11.368530246778773
pg13273.epub,54435,999,0.15203453660328833,12.000661375661375
pg13312.epub,82136,2220,0.1279341579818837,13.703036369703037
pg13432.epub,46178,487,0.10229979643986314,21.05699954400365
pg13454.epub,170803,3208,0.09809546670725924,18.595862819814915
pg13541.epub,73867,663,0.09249055735308054,25.782547993019197
pg13572.epub,65447,1301,0.12818005408956865,18.47741389045737
pg13776.epub,51346,1348,0.1345577065399447,14.330449344125034
pg13913.epub,79219,2184,0.12356884080839192,15.875551102204408
pg1392.epub,10122,158,0.14572218929065403,22.246153846153845
pg13960.epub,99335,3324,0.15013842049630038,9.55052398807807
pg13985.epub,170765,4231,0.1607062337129974,9.657015212350846
pg14051.epub,65105,946,0.11596651562859996,15.695515911282547
pg14079.epub,45612,1408,0.13761729369464176,12.64891846921797
pg14145.epub,117100,2200,0.11747224594363792,11.031559114460668
pg1422.epub,5170,86,0.1471953578336557,18.140350877192983
pg14253.epub,172409,4783,0.1359151784419607,12.874990665372264
pg14303.epub,141426,3097,0.1340559727348578,14.0652411735455
pg14382.epub,100039,2475,0.14711262607583042,14.700808229243204
pg14395.epub,70272,1851,0.12273736338797814,12.446333687566419
pg14420.epub,171702,1492,0.12388906361020838,31.74376039933444
pg14427.epub,70218,1874,0.14054800763337036,17.73629704470826
pg14454.epub,121071,2250,0.13147657159848353,15.561825192802056
pg14490.epub,83939,1190,0.12930818808896938,16.66448282707961
pg14523.epub,33670,540,0.13474903474903474,19.575581395348838
pg14581.epub,87588,3117,0.14272503082614058,13.12179775280899
pg14605.epub,120845,2491,0.12680706690388513,15.836063425501244
pg14669.epub,100395,2585,0.13472782509089098,12.743716679360244
pg14687.epub,68766,1414,0.15744699415408778,17.691278621044507
pg14708.epub,37199,613,0.14570284147423318,18.627441161742613
pg14712.epub,99707,1356,0.12220806964405709,18.244647758462946
pg14852.epub,142995,4234,0.17540473443127383,13.690282431785544
pg14858.epub,83487,2239,0.14766370812222263,13.415876586855214
pg14885.epub,61950,1415,0.13000807102502018,14.487839101964452
pg15013.epub,90275,3422,0.16058709498753806,9.318228736581338
pg15067.epub,129137,2153,0.13869766217273127,27.825253178194355
pg15094.epub,63027,2397,0.18309613340314468,11.143387553041018
pg15116.epub,66878,1733,0.1292951344238763,14.54185692541857
pg15117.epub,91365,1513,0.1618562907021288,22.24074975657254
pg15123.epub,50730,2050,0.1303370786516854,8.679213002566296
pg15179.epub,18618,127,0.11650016113438608,15.527939949958299
pg15181.epub,20561,564,0.14829045279898836,15.707410236822001
pg15182.epub,24358,589,0.12685770588718284,16.469235970250168
pg15183.epub,23314,554,0.14570644248091275,16.326330532212886
pg15244.epub,59418,1002,0.14387895923794136,21.669584245076585
pg15275.epub,175687,2851,0.14344829156397457,24.713321142214095
pg15315.epub,173405,4485,0.11474294282171794,16.90931253047294
pg15317.epub,4052,119,0.16584402764067127,12.702194357366771
pg15321.epub,188294,3281,0.1151921994328019,22.937507613594835
pg15430.epub,83222,1967,0.1370671216745572,16.056723905074282
pg15498.epub,147608,4242,0.1554319549075931,12.668039821489874
pg15527.epub,141520,3010,0.12374222724703222,13.706537530266344
pg15671.epub,65108,2005,0.1409197026479081,10.271020665720146
pg15704.epub,149381,3449,0.1453129916120524,11.632222395265535
pg15743.epub,72682,1839,0.11829613934674335,12.5573600552868
pg15774.epub,214989,6055,0.14856108917200414,15.476855517961269
